text,labels
হমমম,positive
স্বাগতম,positive
"মিয়াভাই, শেষের মন্তব্যটুকু পড়ে মজা পাইলাম.... হে হে হে হে",positive
"খুরশেদ আলমের প্রতি পূর্ণ সম্মান ও শ্রদ্ধা রেখেই বলছি, তাঁর মতো নৌ বিশেষজ্ঞ এই উপমহাদেশে আর একটিও নেই, এই মন্তব্যটি কী তথ্য নির্ভর না আবেগ নির্ভর?",positive
মোদী কিছুই করতে পারবেন না,negative
টিভিতে ওর বক্তব্য কিছুই স্পষ্ট বুঝলামনা,negative
ওরা কি মানুষ ?,negative
প্রাণীর প্রতি নিষ্ঠুর আচরণের দায়ে ২৫ বছরের যুবক ম্যাথিউ ম্যালোনি আগামী তিন বছর কোনো প্রাণী পুষতে পারবেন না,negative
"জনাব নাম প্রকাশে অনিচ্ছুক, ফিডব্যাক গানটি ৮৬ তে নয় ৯০ এ রিলিজ হয়েছিলো",negative
আপনার সৃতিশক্তি লোপপেয়েছে তাই বিএনপিকে আজ কান্ডারি মনে হয় আপনার,negative
ভারতে নিরাপত্তার বিশাল ঘাটতি রয়েছে,negative
"আজ ইন্ডিয়ার কপাল পুড়েছে, আলিমদার যে আজকে নেই !! গো ইন্ডিয়া গো ( ঘর আপস আও)",negative
কবির# তাহলে পাকিস্তানের সাথে শেষ টেস্টে ঐভাবে হারলাম কেন? পাকিস্তানকে জিতিয়ে বাংলাদেশের কি লাভ হয়েছিল!! আপনি কি নোংরা রাজ্নীতির বাইরে কিছুই চিন্তা করতে পারেন না?,negative
অনেকে তোমার স্বপ্ন চুরি করতে চাইবে,negative
ভাই কিছুই বুঝিনা,negative
না বুজে মন্তবব,negative
বোমা হামলা কে করেছে সেটা সরকার এখনো প্রমান করতে পারে নাই,negative
"অস্বাভাবিক নয়, মানুষের মস্তিষ্ক একটা অতি উন্নত প্রাকৃতিক কম্পিউটার ছাড়া আর কিছুই নয়",positive
আইন করে লীগের নেতা কর্মীদের নামে মামলা নেয়া বন্ধ করে দেয়া উচিৎ,negative
আপনাদের মতো ছাত্রলীগ চাঁদা চাইয়া বইসা থাকে,negative
এটাকে অঘটন বলা ঠিক হবে না,positive
ভালো উদ্যোগ কিন্তু নাম্বার টা ১২৩৪৫ অথবা ৭৭৭৭ দিলে সব থেকে ভাল মনে থাকত,positive
আশা করি সবার উত্তর পেয়ে গেছেন,positive
নেতা কর্মি বহিস্কার করতে করতে দলে একা এরশাদ এই হতে পারে,negative
বাঘা তেতুলের মতই বটে লেখাটা,positive
ঘোর শত্রুর সঙ্গেও মানুষ বসে বৃহত্তর স্বার্থের কথা চিন্তা করে,positive
"অভিনন্দন, ড. ইউনূস",positive
যারা এই পরিসংখ্যানটা পরিচালনা করছেন তারা চান না বাংলাদেশ স্বাবলম্বী হোক,negative
পরাজয়ের আশঙ্কা থেকে অনেকে বিভ্রান্ত সৃৃষ্টির চেষ্টা করছে,negative
নির্বাচনের ভোট কেন্দ্রের বুথ দখল করে গণহারে ভোট: বিবিসি,positive
বঙ্গবন্ধু নিজেকে এই সালভাদর আয়েন্দের সাথে তুলনা করে বলেছিলেন তার অবস্থা যদি আয়েন্দের মতোও হয় তবুও তিনি সমাজতন্ত্রে পথ ছাড়বেন না,positive
কিছুই করতে না দিলে কি মানুষ পোড়াতে হবে? এটা কেমন যুক্তি?,negative
রাজনীতি করতে না দিলেতো নাশকতা হবেই,negative
গল্পটি ভালো লাগলো না,negative
"কেবল ঘুষ নয়, হুমকির সম্ভাবনাও রয়েছে",positive
বাংলাদেশ,positive
এটা জঙ্গলও নয়,negative
"এই রিপোরটের মানে হলো, ২+২ = ৪ এটা সব সময় সত্য নয়",negative
শাবনুর ম্যাডাম এবং মৌসুমি আপুর এখন এইসব চরিত্রে মানায়? প্রেম টাইপের কিছু এখন আমাদের মতো ২১/২২ না হয় ম্যাক্সিমাম ৩০ বছরের ছেলে পেলে- এদের সাথে যায়,negative
ভাই আপনি ইতালিতে আওয়ামিলীগের কোন পদে আছেন,negative
এই শপথ ঢাকার ভোটারদের গালে চপেতাঘাত করার চেয়েও জঘন্য,negative
সুষ্ঠু আইন আমাদের মত সাধারণ জনগনের জন্য না,negative
কলকাতা বিজয়,positive
কাউকে বিশ্বস্ত মনে হয় না এখন,negative
"আমি আমার জাতীয়তা বিক্রি করবো ৷ কারণ যে দেশে ভারতীয় পোশাকের জন্য স্ত্রী তার স্বামীকে তালাক দেয়,একজন যুবতী মেয়ে আত্মহত্যা করে..বাঙালি হিসাবে আমি লজ্জিত...দিক্কার জানাই বাঙালি জাতিকে",negative
আর সবচেয়ে অবাক করা বিষয় আমাদের দেশে যে চুরি করে যে দোষ করে তার প্রতি মানুষের দয়া বেশি থাকে আর যারা সেই চুরি ধরিয়ে দেয় তাদেরকেই দোষী বলে মানা হয় :p,negative
ধন্যবাদ তাদের,positive
hussain ভাই... বাংলাদেশ হারলেও আমাদের খেলোয়াড়েরা বীরের সম্বর্ধনাই পাবে এখানে,positive
"বাংলাদেশের মানুষও এ রকম একটি অবাধ, সুষ্ঠু ও শান্তিপূর্ণ নির্বাচনের জন্য কায়মনোবাক্যে প্রার্থনা করছে",positive
আরও বেশি করে ইতিবাচক খবর চাই,positive
শুধু মনের জোর,positive
অার কোন হারই মধুর হয় না,negative
অসাধারণ,positive
ভাল লাগল,positive
আসল জায়গায় দেখা যাবে কে কেমন,negative
মার কাছে মামার বাড়ির গল্পের মতো,negative
"ইরান লড়াই করছে আই এস এর বিপক্ষে , সিরিয়ার বাশার সরকারের পক্ষে",negative
২০০১ সালের ৌন নিরজাতনের রায় ২০১৪ সালে হায়রে বাংলদেশ হায়রে বিচার ?,negative
"ট ২০ খেলা ফাটাফাটি ৪/ ৬ খেলা, এখানে ঠুকুর ঠাকুরের কোন দরকার নেই",positive
"যারা অাপনার একটু লেখাও জীবনে পড়েছে, প্রতিনিয়ত পড়ছে তারা অাপনাকে মিস করে ,মিস করছে ,অামরা অাপনাকে সময়ে অসময়ে ফিল করি",positive
"তাই হয়েছে ( সাকিব- ৬৩ রান , ২ ইউকেট ; মুশফিক- ৭১ রান ; মাশরাফি - ১৪ রান , ৩ ইউকেট) এবং বাংলাদেশ জিতেছে",positive
"সারা জীবন যেমন কারু একই রকম যায়না, খেলতেও তেমন",negative
সরকারের স্বেচ্ছাচারিতার জন্যই বিদেশি পার্লামেন্টে বাংলাদেশকে নিয়ে বিতর্ক হচ্ছে,negative
