text,labels
android location Address get Admin Area,location tags
android location Location get Altitude,gps information
android accounts Account Manager get User Data,address book
android content pm Package Manager get Service Info,application information
android content pm Package Manager get Application Info,application software
android test mock Mock Package Manager get Application Info,application software
android webkit Web Settings get Default User Agent,application version number
android telephony Telephony Manager get Neighboring Cell Info,area code
android bluetooth Bluetooth Adapter get State,bluetooth settings
android bluetooth Bluetooth Adapter is Enabled,bluetooth settings
android bluetooth Bluetooth Class get Device Class,bluetooth settings
android bluetooth Bluetooth Class get Major Device Class,bluetooth settings
android bluetooth Bluetooth Device get Bluetooth Class,bluetooth settings
android bluetooth Bluetooth Device get Name,bluetooth settings
android bluetooth Bluetooth Adapter get Address,bluetooth settings
android bluetooth Bluetooth Adapter get Bonded Devices,bluetooth settings
android webkit Web Settings get Default User Agent,browser language
android webkit Web Settings get User Agent String,browser type
android webkit Web Settings get Default User Agent,browser type
android accounts Account Manager get User Data,calendar entries
android location Location Manager get Best Provider,carrier network
android telephony Telephony Manager get Neighboring Cell Info,carrier network
android location Location Manager get Provider,carrier network
android location Location Manager get Providers,carrier network
android telephony Telephony Manager get Network Operator,carrier network
android telephony Telephony Manager get Network Country Iso,carrier network
android telephony Telephony Manager get Sim Operator,carrier network
android location Location Manager get Best Provider,cell towers
android telephony Telephony Manager get Neighboring Cell Info,cell towers
android telephony Telephony Manager get Cell Location,cell towers
android location Location Manager get Provider,cell towers
android location Location Manager get Providers,cell towers
android accounts Account Manager get User Data,chat histories
android telephony Sms Message get Display Message Body,chat text
android telephony Sms Message get Message Body,chat text
android net Mail To get Cc,contacts
android net Mail To get To,contacts
android webkit Cookie Manager get Cookie,cookies
android location Address get Country Code,country
android telephony Telephony Manager get Sim Country Iso,country
android location Address get Country Name,country
android app backup Backup Data Input read Entity Data,data
android view Input Device get Motion Ranges,device capability
android view Input Device get Motion Ranges,device characteristics
android view Input Device get Descriptor,device characteristics
android content pm Package Manager get System Available Features,device characteristics
android test mock Mock Package Manager get System Available Features,device characteristics
android view Input Event get Device Id,device id
android view Key Event get Device Id,device id
android view Motion Event get Device Id,device id
android hardware input Input Manager get Input Device,device information
android view Input Device get Name,device name
android app Activity Manager get Device Configuration Info,devices hardware
android net wifi Wifi Manager get Dhcp Info,domain servers
android net wifi Wifi Manager get Connection Info,domain servers
android content Context open File Input,files
android content Context Wrapper open File Input,files
android test mock Mock Context open File Input,files
android test Renaming Delegating Context open File Input,files
android location Location Manager get Best Provider,gps
android location Location Manager get Provider,gps
android location Location Manager get Providers,gps
android location Location get Bearing,gps information
android location Location Provider get Accuracy,gps information
android location Location get Accuracy,gps information
android location Location get Speed,gps information
android hardware input Input Manager get Input Device Ids,hardware device id
android os Build get Radio Version,hardware information
android app Activity Manager get Device Configuration Info,hardware settings
android location Location distance To,high-level geographic information
android telephony Telephony Manager get Device Id,imei
android content pm Package Manager get Installed Applications,installed applications
android test mock Mock Package Manager get Installed Applications,installed applications
android content pm Package Manager get Installed Packages,installed applications
android test mock Mock Package Manager get Installed Packages,installed applications
android content pm Package Manager get Packages For Uid,installed applications
android test mock Mock Package Manager get Packages For Uid,installed applications
android net wifi Wifi Manager get Dhcp Info,ip address
android net wifi Wifi Manager get Connection Info,ip address
android location Location get Latitude,latitude
android location Location Manager request Location Updates,location
android location Location Manager request Location Updates,location
android location Location Manager request Location Updates,location
android location Location Manager request Location Updates,location
android location Location Manager request Single Update,location
android location Location Manager request Single Update,location
android location Location Manager request Single Update,location
android location Location Manager request Single Update,location
android location Location distance To,location information
android location Address get Country Code,location tags
android telephony Telephony Manager get Sim Country Iso,location tags
android location Address get Address Line,location tags
android location Address get Locality,location tags
