text,labels
android telephony Telephony Manager get Sim State,network measurements
android hardware Sensor Manager register Listener,sensors
android location Address get Country Code,location tags
android test Renaming Delegating Context open File Input,files
android telephony Telephony Manager get Data Activity,network type
android net wifi Wifi Info get Network Id,wi-fi access point information
android location Geocoder get From Location Name,specific geolocation
android telephony Telephony Manager get Sim Operator,carrier network
android net Mail To get Headers,url
android net Network Info get Detailed State,network measurements
android telephony Telephony Manager get Neighboring Cell Info,network measurements
android location Location get Bearing,gps information
android location Location Manager request Location Updates,location
android net wifi Wifi Info get SSID,wi-fi access point information
android location Location get Altitude,gps information
android telephony Telephony Manager get Network Operator,carrier network
android telephony Telephony Manager get Neighboring Cell Info,cell towers
android net Connectivity Manager get Active Network Info,network measurements
android content Context open File Input,files
android net Mail To get Cc,url
android test mock Mock Package Manager query Permissions By Group,operating system information
android content pm Package Manager query Permissions By Group,operating system information
android app Activity Manager get Device Configuration Info,mobile device language setting
android net Network Info get Type,network protocol
android telephony Telephony Manager get Neighboring Cell Info,carrier network
android view Input Device get Motion Ranges,device capability
android webkit Web View get Original Url,url
android net Network Info get Subtype,telecommunications carrier information
android net wifi Wifi Manager get Connection Info,domain servers
android os Environment get Data Directory,user content
android net wifi Wifi Manager get Connection Info,wi-fi access point information
android app Activity Manager get Device Configuration Info,devices hardware
android webkit Web Settings get User Agent String,browser type
android telephony Telephony Manager get Neighboring Cell Info,area code
android test mock Mock Package Manager get Packages For Uid,installed applications
android telephony Telephony Manager get Subscriber Id,unique device id
android accounts Account Manager get User Data,user content
android view Input Event get Device Id,device id
android location Location Manager request Location Updates,location
android test mock Mock Package Manager get Installed Applications,installed applications
android location Location Manager get Providers,cell towers
android net wifi Wifi Info get BSSID,wi-fi access point information
android telephony Telephony Manager get Cell Location,cell towers
android location Address get Address Line,location tags
android net Connectivity Manager is Active Network Metered,network information
android net Network Info get Type Name,network protocol
android test mock Mock Package Manager get System Available Features,device characteristics
android net wifi Wifi Manager get Configured Networks,wi-fi access point information
android location Geocoder get From Location Name,specifc location data
android net Mail To get To,contacts
android view Motion Event get Device Id,device id
android webkit Web View get Original Url,referral url
android net Network Info is Roaming,telecommunications carrier information
android view accessibility Accessibility Record is Password,user information
android location Location Manager get Last Known Location,real-time location-based information
android location Location Manager request Single Update,location
android net wifi Wifi Info get Link Speed,wi-fi access point information
android location Location Manager get Best Provider,gps
android test mock Mock Package Manager get Installed Packages,installed applications
android webkit Web Settings get Default User Agent,browser language
android location Location Manager request Single Update,location
android location Location Manager get Best Provider,carrier network
android location Location get Accuracy,gps information
android location Location distance To,high-level geographic information
android telephony Telephony Manager get Neighboring Cell Info,network protocol
