text,labels
শুভ কামনা রইল সেলেসাওদের জন্য,positive
আওয়ামিলিগ খেলটা এখানেই দেখাবে,positive
হা হা হা হা হা হা হা হা হা হা,positive
এক কাজ করেন আপনি হাইথট ব্যক্তিদের নিয়ে একটি সংগঠন করেন,positive
ভাই আপনি নিশ্চয়ই চোখ বন্ধ করে ম্যাচ দেখেছেন নতুবা আপনি ফুটবল বিশেষ-অজ্ঞ,negative
নাসির এর খারাপ সময় যাচ্ছে তাই বলে ওকে বাদ দেয়ার কোন মানে হয়না,negative
শুধু নেইমার কে দিয়ে ইতিহাস গড়া খুবই কঠিন,negative
দারুন লেখা,positive
এখন সেই আন্দোলনে BNP জামতের সংঘ ছাড়তে হবে কেন ?,negative
আমিন,positive
"শেখ হাসিনা গণতন্ত্রকে বাঁচিয়ে রাখার স্বার্থে সংলাপ শুরুর উদ্যোগ নেবেন, এটা পুরা বাংলাদেশের মানুষের প্রত্যাশা",positive
আমরা আর তাদের দেখতে চায়না,positive
শুধু 'খারাপ' না 'অত্যন্ত খারাপ' একটা উদাহরণ হয়ে রইল,negative
"অাগামীকাল খালেদা জিয়ার নতুন কর্মসূচি অাসছে! অবরোধ সফল, সুতরাং অবরোধ অব্যাহত থাকবে",positive
"যে দেশে মেধার দাম দেয়া হয় না, সেই দেশে মেধাবী জন্মগ্রহন করলেও থাকতে পারে না",negative
বিএনপির সেনা মোতায়েনের দাবি অমূলক নয়,negative
ভারতীয়রা আজকে বাংলাদেশের পাশে আছে,positive
সবাইকে অভিনন্দন,positive
রাজাকার জোটের বোমায় দেশ লন্ডভন্ড হচ্চে সরকারকে আরো কঠোর হতে হবে এই জঙ্গিদের প্রতিরোধে,positive
"যত যাই হোক, বিএনপি অন্তত এটা প্রমাণ করতে পেরেছে, দলীয় সরকারের অধীনে জাতীয় নির্বাচন সুষ্ঠ‌ভাবে হয় না",negative
ভীষন মণ খাবাপ,negative
স্বপ্নভংগে যারা মুষড়ে পড়ে তাদের স্বপ্ন দেখা উচিত নয়,positive
"আমরা জিতেছি, কিন্তু হেরে গেছে ক্রিকেট",positive
তাতে একমত নই,negative
আওয়ামীলীগে জামাত আর বিএনপির অনেক লোক বেনো জলের মত ঢুকে গেছে,negative
মানুষও এদের জবাব সঠিক সময়ে দিবে,negative
এত মজা লাগে ক্যারে,positive
কি অদ্ভুত মানসিকতা আপনার,negative
ভুল বললেন জনাব,negative
কারন আমরাও তো ভারত প্রায় কে হারিয়ে দিয়েছিলাম,positive
"‘একজন জ্যেষ্ঠ সাংসদ প্রথম আলোকে বলেন, আওয়ামী লীগ আজীবন ভোট ও ভাতের অধিকার প্রতিষ্ঠার রাজনীতি করেছে",positive
