text,labels
অস্ট্রেলিয়া ফাইনালে,positive
"সোলায়মান , ডিসলাইকের সংখ্যা দেখে বিচার করুন কে অন্ধ গলাবাজি করে ...... এই শেখ হাসিনার ভাইদের ভয়ে বাকশালের সময়ে ঢাকার তরুনী দের ঘরে লুকিয়ে থাকা লাগতো",negative
মৃত এবং ক্ষমতাহীনদের নিয়ে লেখার মধ্যে কোন বাহাদুরী নেই,negative
কারণ বাংলাদেশ টিমে সে চান্সই পেতো না,negative
ছোটবেলায় আমি নিজে ৫ টাকা দিয়ে ১.৫ কেজির ইলিশমাছ কিনেছি,positive
আমি গণিতে খুব কাচা ছিলাম,negative
কেন ? ঢাকায় চট জলদি দুজন নগর পিতা কি দেওয়া হয় নি ? আর কী লাগে ?,positive
তবে তিনি দিবেন না কারন মনে হয় তিনি এক জা্যগা্য কাত(.. .)হয়ে আছেন,negative
এটা ১৬ কোঠি মানুষের মনের কথা,positive
ঢাকাই ছবির নায়িকারা তাহলে স্মার্টনেস বুঝতে শুরু করেছেন,positive
আমার উপরের মন্তব্যটি যে বেনামী বোন অথবা ভাইয়ের উদ্দেশ্যে লিখলাম তার উত্তর এবং আনুসংগিক তথ্য দেখতে চাই,negative
"জ্যেষ্ঠ নাগরিকদের একটি প্রতিনিধিদল বিএনপিকে নশকতার সুযোগ করে দেওয়া থেকে বিরত রাখতে পারলোনা, আফসোস",negative
"প্রধানমন্ত্রীর কাছে নিহত ত্বকীর মা-বাবা সমবেদনা ও সহানুভূতি আশা করেন না অথবা আশা করার প্রয়োজন হয় না, কারন এ দেশের কোটি কোটি জনগনের সমবেদনা ও সহানুভূতি ত্বকীর মা-বাবা অলরেডি পেয়েছেন",negative
শুধু ঢাকাতেই কেন উন্নত চিকিৎসা পাওয়া যাবে?বিভাগীয় শহরগুলোতে কেন বিশেষায়িত চিকিৎসা সেবার ব্যবস্থা করা হচ্ছেনা?,negative
লিখে রাখেন এদেশে আর কোন দিন অবাধ সুষ্ঠ নিরপেক্ষ নির্বাচন হবে না,negative
সুন্দর ভাবনা !! এ জন্যই ১৫৩ রান সম্ভব হয়েছে,positive
তারপরও শেষরক্ষা হবে বলে মনে হয় না চোকার দক্ষিন আফ্রিকার,negative
বেচে থাক মায়ের জাত,positive
আশা করি আগামী ৩ টা ম্যাচই আমরা জিতবো,positive
তার সবচেয়ে উত্কৃষ্ট প্রমান এই আগাচৌ,positive
দয়া করে আর হরতাল অবরোধ ডাকবেন না,negative
"বি,এন পি ১০০ তে ১১০",positive
মুক্তিযুদ্ধের সনদ জালিয়াতির দায়ে অভিযুক্ত স্বাস্থ্য সচিব নিয়াজ মিয়া সস্ত্রীক প্রধানমন্ত্রীর সফরসঙ্গী হয়েছেন,negative
দারুন বলেছেন উনি,positive
দেশের জন্য ভালোবাসা কাহাকে বলে সেতার সবচেয়ে সুনদর উদাহরন,positive
হাজার সালাম মা তোমাকে,positive
ইরান বিশ্বের সবচেয়ে জঘন্যতম রাষ্ট্র,negative
খরবটা হুইন্না খুশি অইলাম,positive
প্রদীপের আলো জালাতে যারা সাহায্য করে তারা চিরকাল অন্ধকারেই রয়ে যায়,positive
আশা করি সানি তার মাকে কখনও কোন কারনে কষ্ট দিবে না,positive
অমানুসিক নির্যাতন বন্ধ করে অভিবাবকদের সহায়তা করে মানসিক বিকাশ কেন্দ্রে পাঠান যেতে পারে,positive
"অন্যায় যে করে, আর অন্যায় যে সহে, দুজনই সমান অপরাধী",negative
"খালেদা জিয়ার উপর এভাবে হামলা সমর্থন করি না, উনি অপরাধী হলে আইনের মাধ্যমে গ্রেপ্তার করা হউক",positive
"জনাব নির্ভীক, আপনি আমার মন্তব্য বুঝতে পেরেছেন বলে মনে হয় না",negative
ধন্যবাদ প্রথম আলোকে এই লেখাটির জন্য,positive
"সুপার টেনে কঠিন গ্রুপে পড়েছি ঠিকই, কিন্তু সেটি আমরা আছি বলেই কঠিন!'------- আমরা আছি বলেই কঠিন ! -- Sounds pretty good !! ভাবতে ভালো লাগছে, টাইগাররা অন্য এক উচচতায়",positive
খাটী কথা,positive
আপনার শতভাগ সফলতা কামনা করি স্যার,positive
আমি নিজে শেয়ার বাজারে বিনিয়োগকারী একজন ভুক্তভোগী,negative
ভারত ছাড়া কি আর কোনো দেশ নাই ?,negative
"এমনিতেই দলটির কোন দৃঢ় আদর্শিক ভিত্তি নেই, তার উপর যোগ হয়েছে এই দুঃসময়",negative
জিতছেন আইসিসি আর আম্পায়ার দের কাঁধে ভর দিয়ে তাই আবার বড় বড় কথা বলছেন,negative
আর্জেন্টিনা আর বাংলাদেশের যে কোন ক্ষমতাসীন দলের মধ্যে মিল আর পার্থক্য কি? উত্তর: ১,negative
"যেখানেই ফাকিস্তানীদেরকে পাওয়া যাবে, সেখানে ফায়ার করা হোক",negative
এরা যতদিন বাংলার মাটিতে থাকবে ততদিন বাংলার মানুষ শান্তিতে থাকতে পারবে না,positive
"ইমতিয়াজ,পেটরোল বোমার সবচাইতে খারাপ ঘটনাগুলো পলিশ, র্যাব, বিজিবির পাহারায় ঘটেছে",positive
নাসিম @ দলে দলে ছাত্রদল/শিবির যে পেট্টোলবোমা সহ ধরা পড়ে গনধোলাই খায় এরাও কি সরকারের সৃষ্টি,negative
