text,labels
৫ ই জানুয়ারিতেও তো আপনারা সহ আধিকাংশ দেশ কোন পর্যবেক্ষক পাঠান নাই,negative
ঠিক,positive
আমিও ঘৃণা করছি,negative
১০০ ভাগ সঠিক !কোন এক ইসকুলের ক্মপিউটর শিখখক ইসক্যানার দিয়ে ইসক্যান করতে পারে না অথচ সে ক্মপিউটর শিখখক,positive
সিরাম হইছে,positive
হুম,positive
"এদেরকে মঙ্গলগ্রহে নিয়ে বিচার করা উচিত... আর যেন কোনোভাবেই পৃথিবীতে ঢুকতে না পারে সেই ব্যবস্থা করা উচিত, দেশটারে ছারখার কইরা দিসে",negative
এদের সবাইকে না হলেও ৭০ শতাংশ ছিনতাইকারী খুব দ্রুতই গ্রেপ্তার হবেই,positive
আসলেই আমরা বাঙ্গালীরা অল্পতেই তুষ্ট,positive
লেখককে ধন্য বাদ,positive
তাতে অবাক হবার কিছুই নেই,positive
"তার পরও আমরা আশা করব, হাফিজুরের মৃত্যু তাঁদের বিবেক জাগ্রত করতে না পারলেও কুম্ভকর্ণের ঘুম ভাঙাবে",positive
"তার পর ঐক্যৈর কথা বলুন, তারপর দেখা যাবে",positive
কেনো এশিয়াতে কোন দল নেই নাকি ? এটা কেমন ভালোবাসা ?,negative
"পরিস্থিতি দেখে খুব ভয় হচ্চে, কারন নিজের ভোট নিজে দিয়ে কি পছন্দের প্রার্থীকে বিজয়ি করা যাবে ?",negative
আপনি যথার্থই খাটি কথা বলেছেন জনাব,positive
বাজে ক্যাপটেনসি,negative
"ডাক্তারদের দোষারোপ করে লাভ কী? রোগীর অবস্থা অতীব খারাপ, যে কোন সময় বস্ত্র বিসর্জন দিতে পারে",positive
"চমতকার লেখা , ধন্যবাদ",positive
সরকারি দল ছাড়া অন্য কেউ করলে সাথে সাথে প্রাথীতা বাতিল,negative
আল্মীগের কি সেই বুকের পাটা আছে,negative
আজ তথাকথিত ধার্মিক ( বক) দের রা দ্বারা লাঞ্চিত,negative
"বাংলাদেশ জিতবেই, ইনশাল্লাহ",positive
দেশের সকল নাগরিকের আয়-ব্যয়ের হিসেব রাখা গেলে দুর্নীতি দূর করা যেতে পারে,positive
